2013-12-05,SHREECEM,AXISBANK,HCLTECH,BHARTIARTL,KOTAKBANK
2013-12-06,POWERGRID,ONGC,BAJFINANCE,SHREECEM,KOTAKBANK
2013-12-09,BAJAJFINSV,WIPRO,HINDUNILVR,BAJFINANCE,M&M
2013-12-10,M&M,RELIANCE,NESTLEIND,HINDUNILVR,DRREDDY
2013-12-11,HEROMOTOCO,NTPC,RELIANCE,INDUSINDBK,DRREDDY
2013-12-12,KOTAKBANK,POWERGRID,EICHERMOT,HEROMOTOCO,UPL
2013-12-13,TATACONSUM,BAJAJFINSV,POWERGRID,INDUSINDBK,HINDUNILVR
2013-12-16,WIPRO,HEROMOTOCO,JSWSTEEL,INFY,INDUSINDBK
2013-12-17,ULTRACEMCO,DIVISLAB,LT,WIPRO,HCLTECH
2013-12-18,LT,POWERGRID,TATACONSUM,INDUSINDBK,SBIN
2013-12-19,WIPRO,BHARTIARTL,EICHERMOT,HCLTECH,BAJAJFINSV
2013-12-20,POWERGRID,WIPRO,INDUSINDBK,BAJAJFINSV,TATASTEEL
2013-12-23,POWERGRID,DRREDDY,DIVISLAB,BAJAJFINSV,JSWSTEEL
2013-12-24,POWERGRID,DIVISLAB,DRREDDY,CIPLA,LT
2013-12-26,MARUTI,POWERGRID,NESTLEIND,RELIANCE,INDUSINDBK
2013-12-27,MARUTI,BHARTIARTL,WIPRO,INDUSINDBK,POWERGRID
2013-12-30,BRITANNIA,BAJAJFINSV,HINDUNILVR,TATASTEEL,TECHM
2013-12-31,BRITANNIA,MARUTI,TCS,INFY,DRREDDY
